feature,test,statistic,p_value,degrees_of_freedom,cramers_v,significant_at_0_05
Contract,Chi-square,1184.5965720837926,5.863038300673391e-258,2,0.4101156965761409,True
tenure_group,Chi-square,927.3292745565151,1.9959341029565844e-199,4,0.362859201765909,True
OnlineSecurity,Chi-square,849.9989679615965,2.6611496351765517e-185,2,0.3474004326740552,True
TechSupport,Chi-square,828.1970684587394,1.4430840279998987e-180,2,0.3429161982469257,True
InternetService,Chi-square,732.309589667794,9.571788222840544e-160,2,0.32245455521230887,True
PaymentMethod,Chi-square,648.1423274814,3.6823546520097993e-140,3,0.30335862555407056,True
OnlineBackup,Chi-square,601.812790113409,2.0797592160864276e-131,2,0.2923155121954445,True
DeviceProtection,Chi-square,558.419369407389,5.505219496457244e-122,2,0.281579732968073,True
StreamingMovies,Chi-square,375.6614793452656,2.667756755723681e-82,2,0.23095080906926801,True
StreamingTV,Chi-square,374.2039433109813,5.528994485739183e-82,2,0.2305023384466809,True
PaperlessBilling,Chi-square,258.27764906707307,4.073354668665985e-58,1,0.19149814355338285,True
Dependents,Chi-square,189.12924940423474,4.9249216612154196e-43,1,0.1638703967886369,True
Partner,Chi-square,158.7333820309922,2.1399113440759935e-36,1,0.15012578474988478,True
MultipleLines,Chi-square,11.33044148319756,0.0034643829548773,2,0.04010925283378871,True
PhoneService,Chi-square,0.9150329892546948,0.3387825358066928,1,0.011398285522718045,False
gender,Chi-square,0.4840828822091383,0.48657873605618596,1,0.008290505631771371,False
