feature,coefficient,odds_ratio,p_value,ci_lower,ci_upper,significant_at_0_05
tenure,-0.0594086967866124,0.9423215666507025,4.952632498925635e-22,0.9310187447885967,0.9537616078574904,True
Contract_Two year,-1.3895819403171312,0.24917945474349742,2.6919995455619187e-15,0.1765519365516071,0.351683486904814,True
Contract_One year,-0.6671189434342852,0.5131849649004735,5.382118983760889e-10,0.4157152904129019,0.633507629556574,True
PaperlessBilling_Yes,0.34184560080535376,1.4075429572369251,4.422670853767791e-06,1.2163926964088714,1.6287315620327651,True
TotalCharges,0.00031843845647555233,1.000318489163383,5.542116959127962e-06,1.0001810769000306,1.000455920305447,True
PaymentMethod_Electronic check,0.305730625639058,1.357616550196799,0.0012131923588998496,1.128109856121147,1.633814904964651,True
SeniorCitizen,0.21507703403894138,1.2399574122146302,0.010942513578522916,1.0506515987791267,1.4633722405149283,True
MultipleLines_Yes,0.4469108525490288,1.563474913270381,0.01159791880796947,1.1050505432356152,2.2120742072741795,True
InternetService_No,-1.790960750876058,0.16679983956874012,0.026390563721468193,0.03432627174931681,0.8105216518514329,True
InternetService_Fiber optic,1.7529591939935838,5.7716568825878065,0.027956996707071743,1.208960441828942,27.554270609489958,True
StreamingMovies_Yes,0.6038059417340886,1.829066892006274,0.06433405352194208,0.964698744328295,3.467907173200377,False
StreamingTV_Yes,0.5911884911316856,1.8061337142130076,0.06987726678873664,0.9531087048117509,3.4226095902263083,False
Dependents_Yes,-0.15376783428116927,0.8574710732921128,0.08653115373919759,0.7192090905350365,1.022312775532013,False
const,1.151182065178395,3.161928306861479,0.15762002519658602,0.6405176527650249,15.608922836978557,False
MonthlyCharges,-0.040371855524903286,0.9604322307101882,0.2032615028965945,0.9025207881938483,1.022059637687618,False
OnlineSecurity_Yes,-0.20546439148047513,0.8142690889676798,0.2500454748446661,0.5737462775983274,1.1556225724438376,False
TechSupport_Yes,-0.17889572719616603,0.8361930870490393,0.32150629694447186,0.5870894007774324,1.190992168999621,False
DeviceProtection_Yes,0.14768896228036144,1.1591523001982091,0.4021969375139136,0.8204873757440696,1.6376047880521103,False
PaymentMethod_Credit card (automatic),-0.08649311693050639,0.9171418615141484,0.44835477129582757,0.733379962731258,1.1469486990195705,False
PaymentMethod_Mailed check,-0.05666198099168176,0.9449134140863661,0.6217622559240332,0.7544511185890426,1.183458196456997,False
gender_Male,-0.021882332929303968,0.9783553484865031,0.7355757321998462,0.8616745754699349,1.110836057092814,False
PhoneService_Yes,0.17980912123574483,1.1969888615597344,0.7813808260178214,0.3361899225900857,4.261824160758834,False
OnlineBackup_Yes,0.025791495900060267,1.0261269744857515,0.8829760123031899,0.7278742044590488,1.4465914045543313,False
Partner_Yes,-0.002692068184908204,0.9973115521811617,0.9723926760581907,0.8562827603573951,1.161567624809893,False
